GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
millete,com.puntomartinez.millete.shared.infrastructure.config,NativeRuntimeHints,59,0,0,0,9,0,2,0,2,0
millete,com.puntomartinez.millete.users.domain.exception,AccountLockedException,0,18,0,0,0,5,0,1,0,1
millete,com.puntomartinez.millete.dashboard.application.services,DashboardPeriodService,6,136,1,7,1,28,1,8,0,3
millete,com.puntomartinez.millete.dashboard.application.services,DashboardBudgetService,7,145,7,11,0,42,6,9,0,6
millete,com.puntomartinez.millete.dashboard.application.services,DashboardHistoryService,46,408,11,21,4,87,13,17,6,7
millete,com.puntomartinez.millete.dashboard.application.services,DashboardCategoryService,44,234,4,14,9,64,4,11,0,6
millete,com.puntomartinez.millete.dashboard.application.services,DashboardService,17,346,3,19,5,107,3,24,0,15
millete,com.puntomartinez.millete.transactions.infrastructure.out.persistence.postgresql.adapters,TransactionPostgresAdapter,115,207,12,6,25,49,9,15,2,12
millete,com.puntomartinez.millete.investments.infrastructure.in.controller.dto,InvestmentDistributionResponseDTO,0,9,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.investments.infrastructure.in.controller.dto,InvestmentDistributionItemDTO,0,15,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.investments.infrastructure.in.controller.dto,RegisterInvestmentRequestDTO,0,21,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.investments.infrastructure.in.controller.dto,InvestmentMetricsResponseDTO,0,21,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.investments.infrastructure.in.controller.dto,InvestmentResponseDTO,0,42,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.investments.infrastructure.in.controller.dto,InvestmentEvolutionResponseDTO,0,12,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.investments.infrastructure.in.controller.dto,UpdateInvestmentPriceRequestDTO,0,6,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.investments.infrastructure.in.controller.dto,UpdateInvestmentRequestDTO,0,21,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.users.domain.model,UserSession,0,3,0,0,0,2,0,1,0,1
millete,com.puntomartinez.millete.users.domain.model,UserLoginSecurity,0,90,1,9,0,24,1,9,0,5
millete,com.puntomartinez.millete.users.domain.model,UserPreferences,6,86,3,5,0,31,3,14,0,13
millete,com.puntomartinez.millete.users.domain.model,User,3,186,11,37,0,44,11,20,0,7
millete,com.puntomartinez.millete.dashboard.infrastructure.out.categories,CategoryQueryPostgresAdapter,0,49,0,0,0,20,0,5,0,5
millete,com.puntomartinez.millete.shared.infrastructure.config.filter,LoginRateLimitFilter.RateLimitEntry,0,9,0,0,0,4,0,1,0,1
millete,com.puntomartinez.millete.shared.infrastructure.config.filter,JwtAuthenticationFilter,7,145,2,16,2,38,2,11,0,4
millete,com.puntomartinez.millete.shared.infrastructure.config.filter,LoginRateLimitFilter,34,142,6,16,6,32,5,14,1,7
millete,com.puntomartinez.millete,MilleteApplication,8,0,0,0,3,0,2,0,2,0
millete,com.puntomartinez.millete.plannedtransactions.domain.ports.in,RegisterPlannedTransactionUseCase.RegisterPlannedTransactionCommand,0,30,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.plannedtransactions.domain.ports.in,UpdatePlannedTransactionUseCase.UpdatePlannedTransactionCommand,0,21,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.notifications.infrastructure.in.controller.dto,NotificationResponseDTO,0,33,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.investments.infrastructure.out.persistence.postgresql.mappers,InvestmentEntityMapperImpl,2,74,2,2,1,17,2,2,0,2
